# Monthly Data for Mar 1950 to Mar 2014
#
# (As of: Fri Mar 14 18:08:55 PDT 2014)
"#  **Provisional data, subject to revision**"
#
"Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date"
"Jan 2001,574,LEAVITT LAKE,19,9.8,36,8.5,55,-4,8.80,,9617,1989-08-17,2100-01-01"
"Feb 2001,574,LEAVITT LAKE,18,18.6,73,14.8,53,-5,12.50,,9617,1989-08-17,2100-01-01"
"Mar 2001,574,LEAVITT LAKE,31,31.1,108,24.8,61,0,4.70,,9617,1989-08-17,2100-01-01"
"Apr 2001,574,LEAVITT LAKE,27,35.5,91,29.5,60,-10,6.50,,9617,1989-08-17,2100-01-01"
"May 2001,574,LEAVITT LAKE,47,42.0,96,36.0,71,-1,0.40,,9617,1989-08-17,2100-01-01"
"Jun 2001,574,LEAVITT LAKE,50,9.6,22,36.4,70,19,0.00,,9617,1989-08-17,2100-01-01"
"Jul 2001,574,LEAVITT LAKE,52,0.0,0,36.4,74,24,0.80,,9617,1989-08-17,2100-01-01"
"Aug 2001,574,LEAVITT LAKE,58,0.0,0,37.2,76,31,0.00,,9617,1989-08-17,2100-01-01"
"Sep 2001,574,LEAVITT LAKE,50,0.0,0,37.2,69,27,1.20,,9617,1989-08-17,2100-01-01"
"Oct 2001,574,LEAVITT LAKE,43,0.0,0,0.0,67,12,2.80,,9617,1989-08-17,2100-01-01"
"Nov 2001,574,LEAVITT LAKE,29,1.6,9,2.8,59,3,11.60,,9617,1989-08-17,2100-01-01"
"Dec 2001,574,LEAVITT LAKE,22,13.2,57,12.6,42,-2,19.50,,9617,1989-08-17,2100-01-01"
"Jan 2002,574,LEAVITT LAKE,22,32.7,106,25.4,56,-7,5.00,,9617,1989-08-17,2100-01-01"
"Feb 2002,574,LEAVITT LAKE,28,37.7,107,27.9,54,0,6.10,,9617,1989-08-17,2100-01-01"
"Mar 2002,574,LEAVITT LAKE,24,43.8,115,32.6,59,-6,9.50,,9617,1989-08-17,2100-01-01"
"Apr 2002,574,LEAVITT LAKE,32,53.3,129,39.6,62,1,3.30,,9617,1989-08-17,2100-01-01"
"May 2002,574,LEAVITT LAKE,38,56.2,130,42.9,68,4,1.50,,9617,1989-08-17,2100-01-01"
"Jun 2002,574,LEAVITT LAKE,50,36.2,72,44.4,73,11,0.00,,9617,1989-08-17,2100-01-01"
"Jul 2002,574,LEAVITT LAKE,58,0.0,0,44.4,81,25,0.30,,9617,1989-08-17,2100-01-01"
"Aug 2002,574,LEAVITT LAKE,54,0.0,0,44.7,79,24,0.00,,9617,1989-08-17,2100-01-01"
"Sep 2002,574,LEAVITT LAKE,46,0.0,0,44.7,70,12,1.50,,9617,1989-08-17,2100-01-01"
"Oct 2002,574,LEAVITT LAKE,36,0.0,0,0.0,62,8,0.40,,9617,1989-08-17,2100-01-01"
"Nov 2002,574,LEAVITT LAKE,31,0.0,0,0.4,58,8,10.20,,9617,1989-08-17,2100-01-01"
"Dec 2002,574,LEAVITT LAKE,21,10.2,35,9.7,46,-5,27.00,,9617,1989-08-17,2100-01-01"
"Jan 2003,574,LEAVITT LAKE,33,37.2,127,25.5,55,13,2.20,,9617,1989-08-17,2100-01-01"
"Feb 2003,574,LEAVITT LAKE,22,39.4,105,26.9,48,-4,4.40,,9617,1989-08-17,2100-01-01"
"Mar 2003,574,LEAVITT LAKE,28,43.8,119,30.2,55,0,6.40,,9617,1989-08-17,2100-01-01"
"Apr 2003,574,LEAVITT LAKE,23,50.2,119,34.6,51,-2,14.30,,9617,1989-08-17,2100-01-01"
"May 2003,574,LEAVITT LAKE,40,64.5,158,44.5,76,7,3.80,,9617,1989-08-17,2100-01-01"
"Jun 2003,574,LEAVITT LAKE,51,55.9,107,48.3,75,20,0.00,,9617,1989-08-17,2100-01-01"
"Jul 2003,574,LEAVITT LAKE,58,4.9,17,48.3,79,34,1.60,,9617,1989-08-17,2100-01-01"
"Aug 2003,574,LEAVITT LAKE,54,0.0,0,49.9,72,27,1.20,,9617,1989-08-17,2100-01-01"
